layer,val_acc,val_f1,status
0,0.4915633173036362,0.4631956975041578,completed
1,0.566624866738762,0.5375768632188896,completed
2,0.608012547648083,0.5789502772087577,completed
3,0.637015561844719,0.6082511846499971,completed
4,0.6521689944241197,0.6236341946077162,completed
5,0.7397801093700865,0.7130833832013931,completed
6,0.7955734259834487,0.7747506490548622,completed
7,0.8956209781950101,0.8777576680731477,completed
8,0.9489945008168242,0.9347115784249307,completed
9,0.975562381598828,0.9655496336327799,completed
10,0.9866470322051187,0.9799120864137851,completed
11,0.9889824593697031,0.9830301219753572,completed
12,0.9900715584086882,0.9848019419960967,completed
13,0.9877821495133569,0.9821240197311246,completed
14,0.9883880567251866,0.9828684879143837,completed
15,0.9886200654993366,0.983297283214449,completed
16,0.986940398671606,0.9813863731663032,completed
17,0.9863881794405712,0.9805338985726468,completed
18,0.9840738439827278,0.9779214081185903,completed
19,0.98640160143577,0.9806064940515404,completed
20,0.985291410690044,0.9791515490904373,completed
21,0.9851476035986286,0.9788187702461575,completed
22,0.9843652930213295,0.9779679390292687,completed
23,0.9834966981891811,0.9770473327412906,completed
24,0.9812187938611628,0.9743711955001992,completed
25,0.9793339622496798,0.9721230431674807,completed
26,0.977286149267926,0.969835292634758,completed
27,0.9752325840025157,0.9672185417786822,completed
28,0.9732192847227016,0.9651914150842121,completed
29,0.9715760490247962,0.9629641634799461,completed
30,0.9690373745043449,0.9601913932472889,completed
31,0.9656281877238597,0.9558496015075991,completed
32,0.9562577176472393,0.9447723144420044,completed
